FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220111;1100;71;;;
220111;1200;75;;;
220111;1300;70;;;
220111;1400;58;;;
220111;1500;69;;;
220111;1600;78;;;
220111;1700;71;;;
220111;1800;59;;;
220111;1900;56;;;
220111;2000;52;;;
220111;2100;51;;;
220111;2200;48;;;
220111;2300;39;;;
220112;0000;37;;;
220112;0100;43;;;
220112;0200;32;;;
220112;0300;31;;;
220112;0400;27;;;
220112;0500;35;;;
220112;0600;29;;;
220112;0700;45;;;
220112;0800;58;;;
220112;0900;87;;;
220112;1000;95;;;
220112;1100;94;;;
220112;1200;90;;;
220112;1300;87;;;
220112;1400;86;;;
220112;1500;81;;;
220112;1600;97;;;
220112;1700;87;;;
220112;1800;65;;;
220112;1900;54;;;
220112;2000;49;;;
220112;2100;64;;;
220112;2200;56;;;
220112;2300;46;;;
220113;0000;40;;;
220113;0100;37;;;
220113;0200;34;;;
220113;0300;29;;;
220113;0400;33;;;
220113;0500;40;;;
220113;0600;34;;;
220113;0700;44;;;
220113;0800;60;;;
220113;0900;66;;;
220113;1000;75;;;
220113;1100;81;;;
220113;1200;75;;;
220113;1300;59;;;
220113;1400;88;;;
220113;1500;85;;;
220113;1600;82;;;
220113;1700;70;;;
220113;1800;63;;;
220113;1900;64;;;
220113;2000;50;;;
220113;2100;47;;;
220113;2200;57;;;
220113;2300;46;;;
220114;0000;50;;;
220114;0100;37;;;
220114;0200;32;;;
220114;0300;30;;;
220114;0400;30;;;
220114;0500;30;;;
220114;0600;40;;;
220114;0700;69;;;
220114;0800;69;;;
220114;0900;65;;;
220114;1000;78;;;
220114;1100;73;;;
220114;1200;76;;;
220114;1300;87;;;
220114;1400;84;;;
220114;1500;79;;;
220114;1600;98;;;
220114;1700;95;;;
220114;1800;88;;;
220114;1900;75;;;
220114;2000;66;;;
220114;2100;52;;;
220114;2200;39;;;
220114;2300;39;;;
220115;0000;31;;;
220115;0100;33;;;
220115;0200;36;;;
220115;0300;38;;;
220115;0400;37;;;
220115;0500;62;;;
220115;0600;59;;;
220115;0700;68;;;
220115;0800;59;;;
220115;0900;57;;;
220115;1000;60;;;
220115;1100;64;;;
220115;1200;57;;;
220115;1300;55;;;
220115;1400;52;;;
220115;1500;70;;;
220115;1600;81;;;
220115;1700;69;;;
220115;1800;62;;;
220115;1900;39;;;
220115;2000;48;;;
220115;2100;34;;;
220115;2200;32;;;
220115;2300;26;;;
220116;0000;21;;;
220116;0100;23;;;
220116;0200;27;;;
220116;0300;24;;;
220116;0400;24;;;
220116;0500;16;;;
220116;0600;20;;;
220116;0700;28;;;
220116;0800;20;;;
220116;0900;23;;;
220116;1000;25;;;
220116;1100;28;;;
220116;1200;30;;;
220116;1300;24;;;
220116;1400;37;;;
220116;1500;41;;;
220116;1600;41;;;
220116;1700;48;;;
220116;1800;46;;;
220116;1900;48;;;
220116;2000;37;;;
220116;2100;33;;;
220116;2200;26;;;
220116;2300;21;;;
220117;0000;24;;;
220117;0100;23;;;
220117;0200;21;;;
220117;0300;18;;;
220117;0400;25;;;
220117;0500;26;;;
220117;0600;34;;;
220117;0700;41;;;
220117;0800;43;;;
220117;0900;46;;;
220117;1000;31;;;
220117;1100;45;;;
220117;1200;47;;;
220117;1300;39;;;
220117;1400;24;;;
220117;1500;31;;;
220117;1600;45;;;
220117;1700;38;;;
220117;1800;48;;;
220117;1900;61;;;
220117;2000;51;;;
220117;2100;46;;;
220117;2200;51;;;
220117;2300;37;;;
220118;0000;35;;;
220118;0100;32;;;
220118;0200;31;;;
220118;0300;30;;;
220118;0400;41;;;
220118;0500;41;;;
220118;0600;59;;;
220118;0700;57;;;
220118;0800;68;;;
220118;0900;78;;;
220118;1000;66;;;
220118;1100;72;;;
220118;1200;77;;;
220118;1300;;;;
220118;1400;;;;
220118;1500;92;;;
220118;1600;112;;;
220118;1700;90;;;
220118;1800;73;;;
220118;1900;64;;;
220118;2000;66;;;
220118;2100;50;;;
220118;2200;35;;;
220118;2300;30;;;
220119;0000;26;;;
220119;0100;34;;;
220119;0200;35;;;
220119;0300;30;;;
220119;0400;32;;;
220119;0500;39;;;
220119;0600;53;;;
220119;0700;45;;;
220119;0800;39;;;
220119;0900;69;;;
220119;1000;87;;;
220119;1100;109;;;
220119;1200;107;;;
220119;1300;71;;;
220119;1400;84;;;
220119;1500;85;;;
220119;1600;86;;;
220119;1700;82;;;
220119;1800;74;;;
220119;1900;55;;;
220119;2000;51;;;
220119;2100;43;;;
220119;2200;41;;;
220119;2300;30;;;
220120;0000;24;;;
220120;0100;31;;;
220120;0200;30;;;
220120;0300;30;;;
220120;0400;69;;;
220120;0500;55;;;
220120;0600;88;;;
220120;0700;76;;;
220120;0800;61;;;
220120;0900;71;;;
220120;1000;80;;;
220120;1100;83;;;
220120;1200;87;;;
220120;1300;90;;;
220120;1400;64;;;
220120;1500;56;;;
220120;1600;53;;;
220120;1700;66;;;
220120;1800;89;;;
220120;1900;61;;;
220120;2000;57;;;
220120;2100;50;;;
220120;2200;47;;;
220120;2300;37;;;
220121;0000;54;;;
220121;0100;41;;;
220121;0200;38;;;
220121;0300;30;;;
220121;0400;37;;;
220121;0500;48;;;
220121;0600;88;;;
220121;0700;73;;;
220121;0800;56;;;
220121;0900;73;;;
220121;1000;100;;;
220121;1100;79;;;
220121;1200;87;;;
220121;1300;72;;;
220121;1400;72;;;
220121;1500;79;;;
220121;1600;86;;;
220121;1700;106;;;
220121;1800;72;;;
220121;1900;66;;;
220121;2000;44;;;
220121;2100;40;;;
220121;2200;27;;;
220121;2300;23;;;
220122;0000;15;;;
220122;0100;14;;;
220122;0200;13;;;
220122;0300;16;;;
220122;0400;19;;;
220122;0500;29;;;
220122;0600;68;;;
220122;0700;56;;;
220122;0800;46;;;
220122;0900;41;;;
220122;1000;35;;;
220122;1100;47;;;
220122;1200;46;;;
220122;1300;51;;;
220122;1400;43;;;
220122;1500;36;;;
220122;1600;39;;;
220122;1700;40;;;
220122;1800;46;;;
220122;1900;50;;;
220122;2000;44;;;
220122;2100;41;;;
220122;2200;53;;;
220122;2300;70;;;
220123;0000;46;;;
220123;0100;39;;;
220123;0200;48;;;
220123;0300;33;;;
220123;0400;29;;;
220123;0500;38;;;
220123;0600;38;;;
220123;0700;36;;;
220123;0800;43;;;
220123;0900;40;;;
220123;1000;47;;;
220123;1100;41;;;
220123;1200;35;;;
220123;1300;35;;;
220123;1400;37;;;
220123;1500;42;;;
220123;1600;47;;;
220123;1700;67;;;
220123;1800;65;;;
220123;1900;50;;;
220123;2000;54;;;
220123;2100;54;;;
220123;2200;57;;;
220123;2300;68;;;
220124;0000;49;;;
220124;0100;39;;;
220124;0200;35;;;
220124;0300;34;;;
220124;0400;34;;;
220124;0500;55;;;
220124;0600;78;;;
220124;0700;62;;;
220124;0800;57;;;
220124;0900;60;;;
220124;1000;72;;;
220124;1100;87;;;
220124;1200;73;;;
220124;1300;74;;;
220124;1400;108;;;
220124;1500;59;;;
220124;1600;84;;;
220124;1700;93;;;
220124;1800;81;;;
220124;1900;62;;;
220124;2000;52;;;
220124;2100;50;;;
220124;2200;42;;;
220124;2300;37;;;
220125;0000;31;;;
220125;0100;36;;;
220125;0200;50;;;
220125;0300;48;;;
220125;0400;45;;;
220125;0500;45;;;
220125;0600;72;;;
220125;0700;70;;;
220125;0800;89;;;
220125;0900;85;;;
220125;1000;93;;;
220125;1100;85;;;
220125;1200;79;;;
220125;1300;74;;;
220125;1400;76;;;
220125;1500;75;;;
220125;1600;78;;;
220125;1700;87;;;
220125;1800;70;;;
220125;1900;54;;;
220125;2000;64;;;
220125;2100;47;;;
220125;2200;42;;;
220125;2300;47;;;
220126;0000;37;;;
220126;0100;42;;;
220126;0200;50;;;
220126;0300;37;;;
220126;0400;52;;;
220126;0500;40;;;
220126;0600;53;;;
220126;0700;71;;;
220126;0800;74;;;
220126;0900;96;;;
220126;1000;91;;;
220126;1100;98;;;
220126;1200;91;;;
220126;1300;102;;;
220126;1400;97;;;
220126;1500;95;;;
220126;1600;103;;;
220126;1700;99;;;
220126;1800;69;;;
220126;1900;64;;;
220126;2000;51;;;
220126;2100;58;;;
220126;2200;50;;;
220126;2300;42;;;
220127;0000;35;;;
220127;0100;28;;;
220127;0200;33;;;
220127;0300;35;;;
220127;0400;50;;;
220127;0500;55;;;
220127;0600;79;;;
220127;0700;98;;;
220127;0800;130;;;
220127;0900;88;;;
220127;1000;81;;;
220127;1100;79;;;
220127;1200;83;;;
220127;1300;75;;;
220127;1400;86;;;
220127;1500;94;;;
220127;1600;96;;;
220127;1700;95;;;
220127;1800;89;;;
220127;1900;67;;;
220127;2000;51;;;
220127;2100;40;;;
220127;2200;44;;;
220127;2300;37;;;
220128;0000;47;;;
220128;0100;30;;;
220128;0200;32;;;
220128;0300;31;;;
220128;0400;36;;;
220128;0500;23;;;
220128;0600;35;;;
220128;0700;61;;;
220128;0800;69;;;
220128;0900;70;;;
220128;1000;;;;
220128;1100;100;;;
220128;1200;93;;;
220128;1300;87;;;
220128;1400;91;;;
220128;1500;91;;;
220128;1600;96;;;
220128;1700;86;;;
220128;1800;78;;;
220128;1900;63;;;
220128;2000;59;;;
220128;2100;56;;;
220128;2200;49;;;
220128;2300;59;;;
220129;0000;54;;;
220129;0100;42;;;
220129;0200;39;;;
220129;0300;35;;;
220129;0400;35;;;
220129;0500;24;;;
220129;0600;31;;;
220129;0700;30;;;
220129;0800;51;;;
220129;0900;55;;;
220129;1000;74;;;
220129;1100;87;;;
220129;1200;86;;;
220129;1300;80;;;
220129;1400;73;;;
220129;1500;71;;;
220129;1600;83;;;
220129;1700;75;;;
220129;1800;62;;;
220129;1900;54;;;
220129;2000;53;;;
220129;2100;41;;;
220129;2200;39;;;
220129;2300;37;;;
220130;0000;32;;;
220130;0100;36;;;
220130;0200;30;;;
220130;0300;35;;;
220130;0400;25;;;
220130;0500;31;;;
220130;0600;35;;;
220130;0700;47;;;
220130;0800;47;;;
220130;0900;53;;;
220130;1000;56;;;
220130;1100;52;;;
220130;1200;53;;;
220130;1300;56;;;
220130;1400;46;;;
220130;1500;54;;;
220130;1600;55;;;
220130;1700;66;;;
220130;1800;58;;;
220130;1900;55;;;
220130;2000;50;;;
220130;2100;50;;;
220130;2200;47;;;
220130;2300;39;;;
220131;0000;32;;;
220131;0100;32;;;
220131;0200;36;;;
220131;0300;35;;;
220131;0400;43;;;
220131;0500;58;;;
220131;0600;76;;;
220131;0700;63;;;
220131;0800;72;;;
220131;0900;68;;;
220131;1000;61;;;
220131;1100;71;;;
220131;1200;73;;;
220131;1300;68;;;
220131;1400;50;;;
220131;1500;63;;;
220131;1600;82;;;
220131;1700;90;;;
220131;1800;79;;;
220131;1900;63;;;
220131;2000;61;;;
220131;2100;48;;;
220131;2200;28;;;
220131;2300;24;;;
220201;0000;38;;;
220201;0100;42;;;
220201;0200;30;;;
220201;0300;48;;;
220201;0400;70;;;
220201;0500;65;;;
220201;0600;73;;;
220201;0700;48;;;
220201;0800;53;;;
220201;0900;95;;;
220201;1000;75;;;
220201;1100;68;;;
220201;1200;59;;;
220201;1300;81;;;
220201;1400;87;;;
220201;1500;92;;;
220201;1600;112;;;
220201;1700;77;;;
220201;1800;65;;;
220201;1900;58;;;
220201;2000;52;;;
220201;2100;44;;;
220201;2200;34;;;
220201;2300;34;;;
220202;0000;41;;;
220202;0100;39;;;
220202;0200;45;;;
220202;0300;52;;;
220202;0400;43;;;
220202;0500;45;;;
220202;0600;56;;;
220202;0700;65;;;
220202;0800;74;;;
220202;0900;98;;;
220202;1000;100;;;
220202;1100;92;;;
220202;1200;86;;;
220202;1300;80;;;
220202;1400;70;;;
220202;1500;66;;;
220202;1600;75;;;
220202;1700;69;;;
220202;1800;59;;;
220202;1900;55;;;
220202;2000;55;;;
220202;2100;52;;;
220202;2200;40;;;
220202;2300;79;;;
220203;0000;81;;;
220203;0100;72;;;
220203;0200;61;;;
220203;0300;49;;;
220203;0400;86;;;
220203;0500;75;;;
220203;0600;90;;;
220203;0700;96;;;
220203;0800;78;;;
220203;0900;73;;;
220203;1000;73;;;
220203;1100;84;;;
220203;1200;69;;;
220203;1300;63;;;
220203;1400;62;;;
220203;1500;60;;;
220203;1600;88;;;
220203;1700;56;;;
220203;1800;54;;;
220203;1900;40;;;
220203;2000;39;;;
220203;2100;42;;;
220203;2200;29;;;
220203;2300;30;;;
220204;0000;41;;;
220204;0100;31;;;
220204;0200;25;;;
220204;0300;25;;;
220204;0400;22;;;
220204;0500;32;;;
220204;0600;45;;;
220204;0700;72;;;
220204;0800;66;;;
220204;0900;87;;;
220204;1000;83;;;
220204;1100;65;;;
220204;1200;62;;;
220204;1300;69;;;
220204;1400;79;;;
220204;1500;68;;;
220204;1600;57;;;
220204;1700;43;;;
220204;1800;49;;;
220204;1900;51;;;
220204;2000;49;;;
220204;2100;63;;;
220204;2200;54;;;
220204;2300;48;;;
220205;0000;42;;;
220205;0100;46;;;
220205;0200;57;;;
220205;0300;50;;;
220205;0400;38;;;
220205;0500;43;;;
220205;0600;52;;;
220205;0700;52;;;
220205;0800;53;;;
220205;0900;60;;;
220205;1000;58;;;
220205;1100;65;;;
220205;1200;51;;;
220205;1300;45;;;
220205;1400;46;;;
220205;1500;35;;;
220205;1600;31;;;
220205;1700;51;;;
220205;1800;54;;;
220205;1900;57;;;
220205;2000;55;;;
220205;2100;54;;;
220205;2200;48;;;
220205;2300;52;;;
220206;0000;64;;;
220206;0100;76;;;
220206;0200;51;;;
220206;0300;44;;;
220206;0400;38;;;
220206;0500;41;;;
220206;0600;52;;;
220206;0700;60;;;
220206;0800;52;;;
220206;0900;46;;;
220206;1000;47;;;
220206;1100;54;;;
220206;1200;42;;;
220206;1300;44;;;
220206;1400;47;;;
220206;1500;53;;;
220206;1600;72;;;
220206;1700;78;;;
220206;1800;66;;;
220206;1900;50;;;
220206;2000;51;;;
220206;2100;50;;;
220206;2200;42;;;
220206;2300;27;;;
220207;0000;37;;;
220207;0100;51;;;
220207;0200;61;;;
220207;0300;51;;;
220207;0400;37;;;
220207;0500;41;;;
220207;0600;59;;;
220207;0700;58;;;
220207;0800;45;;;
220207;0900;83;;;
220207;1000;106;;;
220207;1100;82;;;
220207;1200;82;;;
220207;1300;85;;;
220207;1400;85;;;
220207;1500;95;;;
220207;1600;92;;;
220207;1700;84;;;
220207;1800;69;;;
220207;1900;56;;;
220207;2000;51;;;
220207;2100;42;;;
220207;2200;44;;;
220207;2300;39;;;
220208;0000;36;;;
220208;0100;44;;;
220208;0200;55;;;
220208;0300;46;;;
220208;0400;46;;;
220208;0500;56;;;
220208;0600;95;;;
220208;0700;86;;;
220208;0800;75;;;
220208;0900;84;;;
220208;1000;98;;;
220208;1100;103;;;
220208;1200;91;;;
220208;1300;77;;;
220208;1400;65;;;
220208;1500;81;;;
220208;1600;102;;;
220208;1700;96;;;
220208;1800;85;;;
220208;1900;71;;;
220208;2000;63;;;
220208;2100;55;;;
220208;2200;49;;;
220208;2300;65;;;
220209;0000;105;;;
220209;0100;82;;;
220209;0200;66;;;
220209;0300;43;;;
220209;0400;47;;;
220209;0500;54;;;
220209;0600;82;;;
220209;0700;103;;;
220209;0800;86;;;
220209;0900;98;;;
220209;1000;84;;;
220209;1100;91;;;
220209;1200;77;;;
220209;1300;85;;;
220209;1400;85;;;
220209;1500;79;;;
220209;1600;89;;;
220209;1700;103;;;
